epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.85525,0.50187,0.95749,0.84094,0.99537,1,0.995,0.89046,0.4974,0.90183,0.80068,0,0,0
2,15.9255,0.55869,0.73086,0.83388,0.99539,1,0.995,0.88922,0.49146,0.88998,0.80077,1.9604e-05,1.9604e-05,1.9604e-05
3,24.0718,0.41051,0.78672,0.88113,0.9953,1,0.995,0.88922,0.48425,0.87554,0.80245,3.8416e-05,3.8416e-05,3.8416e-05
4,32.1447,0.39369,0.78465,0.85371,0.99517,1,0.995,0.88417,0.4904,0.85261,0.80774,5.6436e-05,5.6436e-05,5.6436e-05
5,39.9411,0.51107,0.69345,0.87321,0.99524,1,0.995,0.88417,0.49725,0.81847,0.81701,7.3664e-05,7.3664e-05,7.3664e-05
6,48.7504,0.53013,0.68018,0.88005,0.99521,1,0.995,0.88706,0.52983,0.80266,0.83113,9.01e-05,9.01e-05,9.01e-05
7,56.4741,0.5642,0.719,0.94552,0.99538,1,0.995,0.87929,0.58548,0.80373,0.83889,0.000105744,0.000105744,0.000105744
8,64.8621,0.54074,0.71444,0.84849,0.99538,1,0.995,0.88642,0.56947,0.78419,0.83471,0.000120596,0.000120596,0.000120596
9,72.6994,0.55094,0.64024,0.82977,0.99544,1,0.995,0.88642,0.51677,0.74749,0.82225,0.000134656,0.000134656,0.000134656
10,81.1878,0.51696,0.60653,0.84656,0.99555,1,0.995,0.87662,0.48745,0.72044,0.81672,0.000147924,0.000147924,0.000147924
11,89.4885,0.49943,0.72555,0.79859,0.99549,1,0.995,0.85867,0.55433,0.76903,0.81824,0.0001604,0.0001604,0.0001604
12,97.6368,0.42999,0.7737,0.82151,0.99557,1,0.995,0.85465,0.64112,0.78495,0.82708,0.000172084,0.000172084,0.000172084
13,106.219,0.43651,0.68676,0.81297,0.99553,1,0.995,0.85228,0.65918,0.78533,0.82624,0.000182976,0.000182976,0.000182976
14,114.021,0.59738,0.80424,0.90281,0.99559,1,0.995,0.88377,0.64983,0.79294,0.82068,0.000193076,0.000193076,0.000193076
15,122.045,0.58762,0.78068,0.92718,0.99552,1,0.995,0.88472,0.63411,0.81685,0.81586,0.000202384,0.000202384,0.000202384
16,129.657,0.61488,0.74645,0.89216,0.9955,1,0.995,0.88635,0.60026,0.81119,0.81747,0.0002109,0.0002109,0.0002109
17,137.869,0.59743,0.76891,0.88146,0.99554,1,0.995,0.86993,0.55986,0.80944,0.81287,0.000218624,0.000218624,0.000218624
18,145.542,0.52506,0.76438,0.89958,0.99554,1,0.995,0.86993,0.55986,0.80944,0.81287,0.000225556,0.000225556,0.000225556
19,154.121,0.64406,0.84236,0.9742,0.99553,1,0.995,0.86688,0.54715,0.78326,0.81049,0.000231696,0.000231696,0.000231696
20,161.902,0.53511,0.8728,0.88721,0.99553,1,0.995,0.86688,0.54715,0.78326,0.81049,0.000237044,0.000237044,0.000237044
21,170.087,0.63008,0.81151,0.89347,0.99548,1,0.995,0.8959,0.53466,0.76033,0.80762,0.0002416,0.0002416,0.0002416
22,177.633,0.68687,0.86874,0.89273,0.99548,1,0.995,0.8959,0.53466,0.76033,0.80762,0.000245364,0.000245364,0.000245364
23,185.827,0.59648,0.89913,0.92008,0.99547,1,0.995,0.89316,0.55712,0.74965,0.81756,0.000248336,0.000248336,0.000248336
24,193.52,0.71086,0.77784,0.93935,0.99547,1,0.995,0.89316,0.55712,0.74965,0.81756,0.000250516,0.000250516,0.000250516
25,201.63,0.75326,0.82287,0.92338,0.99519,1,0.995,0.8859,0.56134,0.74133,0.81888,0.000251904,0.000251904,0.000251904
26,209.255,0.75674,0.81711,0.98185,0.99519,1,0.995,0.8859,0.56134,0.74133,0.81888,0.0002525,0.0002525,0.0002525
27,217.27,0.64407,0.80285,0.84265,0.99514,1,0.995,0.87552,0.56658,0.75318,0.81459,0.000252304,0.000252304,0.000252304
28,225.932,0.67527,0.79173,0.89747,0.99514,1,0.995,0.87552,0.56658,0.75318,0.81459,0.000251316,0.000251316,0.000251316
29,234.155,0.76713,0.82963,0.95962,0.9952,1,0.995,0.88254,0.53552,0.75992,0.80911,0.000249536,0.000249536,0.000249536
30,242.511,0.6154,0.75556,0.84728,0.9952,1,0.995,0.88254,0.53552,0.75992,0.80911,0.000246964,0.000246964,0.000246964
31,250.814,0.61168,0.76569,0.86877,0.99517,1,0.995,0.87799,0.51013,0.76971,0.81135,0.0002436,0.0002436,0.0002436
32,258.763,0.58928,0.74554,0.83538,0.99517,1,0.995,0.87799,0.51013,0.76971,0.81135,0.000239444,0.000239444,0.000239444
33,266.322,0.50824,0.73404,0.87166,0.99526,1,0.995,0.88583,0.51431,0.76061,0.81973,0.000234496,0.000234496,0.000234496
34,274.706,0.54409,0.72879,0.83204,0.99526,1,0.995,0.88583,0.51431,0.76061,0.81973,0.000228756,0.000228756,0.000228756
35,282.562,0.5438,0.68728,0.88377,0.99541,1,0.995,0.89631,0.50698,0.73019,0.82459,0.000222224,0.000222224,0.000222224
36,291.197,0.49946,0.72962,0.86014,0.99541,1,0.995,0.89631,0.50698,0.73019,0.82459,0.0002149,0.0002149,0.0002149
37,298.769,0.71324,0.81074,0.94653,0.99543,1,0.995,0.89964,0.48864,0.71137,0.82068,0.000206784,0.000206784,0.000206784
38,307.021,0.47994,0.70376,0.83734,0.99543,1,0.995,0.89964,0.48864,0.71137,0.82068,0.000197876,0.000197876,0.000197876
39,314.86,0.48983,0.87883,0.87453,0.9955,1,0.995,0.91776,0.48006,0.71465,0.81913,0.000188176,0.000188176,0.000188176
40,322.632,0.56953,0.74499,0.88348,0.9955,1,0.995,0.91776,0.48006,0.71465,0.81913,0.000177684,0.000177684,0.000177684
41,330.726,0.48304,0.84761,0.87393,0.99553,1,0.995,0.92526,0.48721,0.70727,0.82497,0.0001664,0.0001664,0.0001664
42,338.452,0.45935,0.89138,0.81473,0.99553,1,0.995,0.92526,0.48721,0.70727,0.82497,0.000154324,0.000154324,0.000154324
43,347.073,0.5766,0.87281,0.93536,0.99543,1,0.995,0.90795,0.49795,0.72752,0.83068,0.000141456,0.000141456,0.000141456
44,355.208,0.65482,0.96759,0.9752,0.99543,1,0.995,0.90795,0.49795,0.72752,0.83068,0.000127796,0.000127796,0.000127796
45,363.212,0.50222,0.87215,0.89717,0.99544,1,0.995,0.88275,0.50405,0.75314,0.82966,0.000113344,0.000113344,0.000113344
46,370.96,0.46415,0.86791,0.82369,0.99544,1,0.995,0.88275,0.50405,0.75314,0.82966,9.81e-05,9.81e-05,9.81e-05
47,379.038,0.60522,0.92687,0.91498,0.99533,1,0.995,0.91437,0.50289,0.77105,0.82484,8.2064e-05,8.2064e-05,8.2064e-05
48,386.582,0.53469,0.85985,0.87965,0.99533,1,0.995,0.91437,0.50289,0.77105,0.82484,6.5236e-05,6.5236e-05,6.5236e-05
49,394.891,0.52025,0.89622,0.89399,0.99532,1,0.995,0.91545,0.49707,0.77754,0.82057,4.7616e-05,4.7616e-05,4.7616e-05
50,402.831,0.47865,0.89253,0.84442,0.99532,1,0.995,0.91545,0.49707,0.77754,0.82057,2.9204e-05,2.9204e-05,2.9204e-05
